ROW_ID,GENERO,ANIOS,ESTADO,FECHA_ULT_COMPRA,ARTICULOS_BEBES,MONTO_BEBES,ARTICULOS_OTROS,MONTO_OTROS,ARTICULOS_TOTALES,MONTO_TOTALES,Q1,Q2,Q3,Q4
1568,F,30,OAXACA,2022-04-01,2,"695,604,790,419",11,"2,198,579,524,904",13,"2,894,184,315,323",0,13,0,0
11274,F,43,MICHOACAN DE OCAMPO,2022-05-01,4,218,9,1762.35,13,1980.35,0,13,0,0
11807,F,49,TABASCO,2022-02-01,8,"921,577,583,643",5,"161,744,888,476",13,"2,539,026,468,403",13,0,0,0
143,F,53,JALISCO,2022-07-01,7,397.45,6,1317,13,1714.45,12,0,1,0
12048,M,61,TABASCO,2022-05-01,6,"321,812,486,466",7,"5,111,147,513,534",13,5432.96,2,11,0,0
122678,M,39,QUERETARO,2022-04-01,3,359.37,10,2328.88,13,2688.25,0,13,0,0
119925,M,30,PUEBLA,2022-05-01,2,298.8,11,2625,13,2923.8,0,13,0,0
119376,F,69,,2022-08-01,1,183.2,12,"4,963,616,401,063",13,"5,146,816,401,063",8,1,4,0
11579,F,73,TLAXCALA,2022-03-01,1,84.15,12,1907.85,13,1992,13,0,0,0
11549,F,51,MEXICO,2022-03-01,12,1449.25,1,194.65,13,1643.9,13,0,0,0
1378,M,57,VERACRUZ DE IGNACIO DE LA LLAVE,2022-05-01,10,678.76,3,639,13,1317.76,0,13,0,0
11115,F,31,CHIHUAHUA,2022-05-01,1,"87,878,121,785",12,"1,491,121,878,214",13,"1,578,999,999,999",0,13,0,0
11699,F,29,,2022-08-01,1,"10,317,819,307",12,"2,332,962,521,883",13,"2,436,140,714,953",0,0,13,0
12264,F,36,JALISCO,2022-06-01,2,491.04,11,2036.28,13,2527.32,0,13,0,0
